filename,c1,c2,c3,alpha,cluster,PC1,PC2,PC3
Swarm-c1_1.00-c2_2.50-c3_1.50-alpha_1.00.gif,1.0,2.5,1.5,1.0,0,-8.242061138592423,0.26005686628018115,-0.5948211322004116
Swarm-c1_1.00-c2_2.50-c3_1.50-alpha_1.50.gif,1.0,2.5,1.5,1.5,0,-6.867799719380103,-3.4887706973129435,-2.0390597595275572
Swarm-c1_1.00-c2_2.50-c3_1.50-alpha_2.00.gif,1.0,2.5,1.5,2.0,0,-6.960638410146932,1.9820894919940768,-0.8510120740152213
Swarm-c1_1.00-c2_2.50-c3_1.50-alpha_2.50.gif,1.0,2.5,1.5,2.5,0,-9.132300880377459,-1.3102404088023718,-3.096536435916692
Swarm-c1_1.00-c2_2.50-c3_1.50-alpha_3.00.gif,1.0,2.5,1.5,3.0,0,-8.343025185043558,-2.026329490868191,-3.695599706003487
Swarm-c1_1.00-c2_2.50-c3_2.00-alpha_1.00.gif,1.0,2.5,2.0,1.0,0,-8.775999685400379,0.5313497881486591,-1.213306252022361
Swarm-c1_1.00-c2_2.50-c3_2.00-alpha_1.50.gif,1.0,2.5,2.0,1.5,0,-7.0183984641264185,1.4581158857059549,-0.19933532126349213
Swarm-c1_1.00-c2_2.50-c3_2.00-alpha_2.00.gif,1.0,2.5,2.0,2.0,0,-4.875542790288856,-0.291230262569779,-0.4233894741738868
Swarm-c1_1.00-c2_2.50-c3_2.00-alpha_2.50.gif,1.0,2.5,2.0,2.5,0,-8.070591415489377,-0.8144313224044888,-2.1240509205163076
Swarm-c1_1.00-c2_2.50-c3_2.00-alpha_3.00.gif,1.0,2.5,2.0,3.0,0,-7.946371776807893,-2.6918595054296715,-2.0084231164517656
Swarm-c1_1.00-c2_2.50-c3_2.50-alpha_1.00.gif,1.0,2.5,2.5,1.0,0,-7.341057647031795,1.953925394388516,-0.1368683472577707
Swarm-c1_1.00-c2_2.50-c3_2.50-alpha_1.50.gif,1.0,2.5,2.5,1.5,0,-6.291254624824103,-0.7386360636674296,-0.7859509274308456
Swarm-c1_1.00-c2_2.50-c3_2.50-alpha_2.00.gif,1.0,2.5,2.5,2.0,0,-6.915554253000196,0.5076379880994378,-1.1141717524511838
Swarm-c1_1.00-c2_2.50-c3_2.50-alpha_2.50.gif,1.0,2.5,2.5,2.5,0,-6.208651628308714,-1.453852878548489,-4.36735541166544
Swarm-c1_1.00-c2_2.50-c3_2.50-alpha_3.00.gif,1.0,2.5,2.5,3.0,0,-7.102318897039614,-0.4521534347587462,-2.225353020051356
Swarm-c1_1.00-c2_2.50-c3_3.00-alpha_1.00.gif,1.0,2.5,3.0,1.0,0,-8.530829278024521,0.10497550151834235,-1.4678191552987756
Swarm-c1_1.00-c2_2.50-c3_3.00-alpha_1.50.gif,1.0,2.5,3.0,1.5,0,-6.837765535397003,0.12239124508082196,0.2578319635528451
Swarm-c1_1.00-c2_2.50-c3_3.00-alpha_2.00.gif,1.0,2.5,3.0,2.0,0,-4.936025250694455,1.2353630693799782,-0.7881784519286734
Swarm-c1_1.00-c2_2.50-c3_3.00-alpha_2.50.gif,1.0,2.5,3.0,2.5,0,-6.4436479686789205,-1.0842832273712886,-2.0231689211479758
Swarm-c1_1.00-c2_2.50-c3_3.00-alpha_3.00.gif,1.0,2.5,3.0,3.0,0,-5.707705425202995,-4.1953021768492444,-2.1303763512086697
Swarm-c1_1.00-c2_3.00-c3_1.00-alpha_1.00.gif,1.0,3.0,1.0,1.0,0,-9.216314801296779,-3.012792075923078,-1.8696900516093375
Swarm-c1_1.00-c2_3.00-c3_1.00-alpha_1.50.gif,1.0,3.0,1.0,1.5,0,-10.30591376533087,-2.8121612288923075,-3.3323488803840595
Swarm-c1_1.00-c2_3.00-c3_1.00-alpha_2.00.gif,1.0,3.0,1.0,2.0,0,-8.063851241704542,-3.2963796192131203,-2.242997645370586
Swarm-c1_1.00-c2_3.00-c3_1.00-alpha_2.50.gif,1.0,3.0,1.0,2.5,0,-10.653591682333063,-2.032480584153783,-2.9088621328517883
